avg_episode_len,cycle,loss,reward
100.0,17,0.0
100.0,18,0.0
100.0,19,0.0
100.0,20,0.0
100.0,21,0.0
100.0,22,0.0
100.0,23,0.0
100.0,24,0.0
100.0,25,0.0
100.0,26,0.0
100.0,27,0.0
100.0,28,0.0
100.0,29,0.0
100.0,30,0.0
100.0,31,0.0
100.0,32,0.0
100.0,33,0.0
100.0,34,0.0
100.0,35,0.0
100.0,36,0.0
100.0,37,0.0
100.0,38,0.0
100.0,39,0.0
100.0,40,0.0
100.0,41,0.0
100.0,42,0.0
100.0,43,0.0
100.0,44,0.0
100.0,45,0.0
100.0,46,0.0
100.0,47,0.0
100.0,48,0.0
100.0,49,0.0
100.0,50,0.0
100.0,51,0.0
100.0,52,0.0
100.0,53,0.0
100.0,54,0.0
100.0,55,0.0
100.0,56,0.0
100.0,57,0.0
100.0,58,0.0
100.0,59,0.0
100.0,60,0.0
100.0,61,0.0
